Name,Model,R2,R2_adjusted,RMSE,Sigma,AIC_wt,AICc_wt,BIC_wt,Performance_Score
model2,lm,0.9558289486152768,0.9556464236095548,57.271369640087386,57.419090725391285,1,1,1,1
model1,lm,0.9413950021978714,0.941213562576193,65.96841172392703,66.10442921210004,4.938490500632611e-60,5.000381421374783e-60,5.66703847193461e-59,0
