term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-942.9607975657892,20.753391757908904,-45.43646689493232,2.9252303233016165e-242,-983.6876207407298,-902.2339743908486
`Weight (kg)`,0.2477533074106613,0.10654926178619849,2.3252465878909843,0.020264720021140246,0.038659150908110035,0.4568474639132125
`Session_Duration (hours)`,719.3063186998083,5.370194887052615,133.94417406229243,0,708.7677532387379,729.8448841608788
Avg_BPM,6.149468172731546,0.1284109815950365,47.88895853257182,1.4599588470038348e-257,5.897472190477291,6.401464154985801
GenderMale,80.43605627384164,4.522612873437473,17.78530653071465,1.897131836930087e-61,71.5608007525361,89.31131179514719
