contrast,estimate,SE,df,t.ratio,p.value
Cardio - HIIT,8.107336857360718,9.701616033052186,964,0.8356686999093801,0.8374779909622574
Cardio - Strength,4.987489474468433,9.311304204728874,964,0.5356381195166481,0.9503481526581496
Cardio - Yoga,16.152985884055678,9.522089170400136,964,1.6963699451868186,0.32610685568750675
HIIT - Strength,-3.1198473828922855,9.660937829365464,964,-0.3229342159111274,0.9883581863177863
HIIT - Yoga,8.04564902669496,9.860571882886111,964,0.8159414202597003,0.846957068484623
Strength - Yoga,11.165496409587245,9.48913225614894,964,1.1766614805428626,0.6417673789696889
